Disease,"Active TB/HIV, Treatment Regimen",Active TB/HIV- Treatment Regimen,MDR-TB Treatment Regimen,,,XDR-TB Treatment Regimen,Total Impact,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Northern Mariana Islands,7.23,46.1,0,0,0,0.08,53.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.05,0,0,0.11,0.04,0.01,0.06,0,0.13,0.55,,,,,,,,,0,0,0,0,,0,,0,,,0,53.96
Norway,66.13,421.78,1.94,0.61,4.78,0.26,495.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,495.5
Oman,152.89,975.23,3.47,1.45,12.2,0.61,"1,145.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,145.86"
Pakistan,"238,237.15","1,519,595.35","19,969.56",379.36,"8,129.79","1,021.06","1,787,332.28",0,0,0,0,0,0,0,0,0,"11,767.79",0,0,0,0,0,0,0,0,"11,767.79","54,057.15",0,0,0,0,0,"54,057.15","65,824.94",26.03,1.13,10.52,0.03,0.16,18.13,6.42,2.74,11.24,0.37,21.36,98.13,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,853,255.35"
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Panama,840.15,"5,358.92",50.21,11.05,102.39,5.87,"6,368.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0.48,0.48,85.35,0.81,31.93,0.01,0.07,65.51,23.51,7.13,34.97,1.26,78.36,328.93,,,,,,,,,0,0,0,0,,0,,0,,,0,"6,698.00"
Papua New Guinea,"1,938.62","12,365.48",683.13,14.48,159.52,30.73,"15,191.96",0,0,0,0,0,0,0,0,0,0,0,0,"10,821.84",0,0,0,0,0,"10,821.84",0,0,0,0,"3,266.70",0,"3,266.70","14,088.54",488.06,11.52,187.97,0.29,1.49,361.58,128.41,44.26,203.92,6.95,428.43,"1,862.90",5.99,,5.09,45.28,,-,,-,11.07,45.28,0,56.35,,0,,0,15.58,8.7,24.28,"31,224.03"
Paraguay,"1,086.20","6,928.30",11.61,3.96,35.59,1.83,"8,067.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.96,8.78,102.89,0.23,1.19,183.99,65.26,25.15,110.61,3.67,217.28,977.01,,,,,,,,,0,0,0,0,,0,,0,,,0,"9,044.51"
Peru,"8,135.52","51,892.40","1,136.92",144.76,"1,463.46",98.42,"62,871.48",0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.63,2.39,0,0,0,0,0,2.39,3.03,959.79,10.39,360.67,0.2,1.01,733.32,263.36,81.18,394.58,14.23,877.15,"3,695.89",,,,,,,,,0,0,0,0,,0,0,0,,,0,"66,570.39"
Philippines,"88,269.77","563,028.63","43,164.83",696.23,"8,412.29","1,874.19","705,445.95",0,"9,480.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,480.38","1,561.48",0,0,0,0,0,"1,561.48","11,041.86","1,047.28",38.71,416.07,1.06,5.42,745.77,264.13,104.69,446.94,14.93,879.5,"3,964.50",,,,,,,,,0,0,0,0,"2,044.11","2,044.11",,0,,31.06,31.06,"722,527.47"
Poland,"2,075.29","13,237.23",13.21,5.6,46.25,2.33,"15,379.91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"15,379.91"
Portugal,613.04,"3,910.27",7.05,2.47,20.54,1.08,"4,554.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"4,554.45"
Puerto Rico,62.57,399.1,0,0,0,0.69,462.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0.11,9.87,0,0,20.54,7.48,2.23,10.84,0.42,24.8,102.81,,,,,,,,,0,0,0,0,,0,,0,,,0,565.17
Qatar,55.85,356.27,0,0,0,0,412.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0.27,0,0,0.55,0.2,0.06,0.29,0.01,0.67,2.77,,,,,,,,,0,0,0,0,,0,,0,,,0,414.89
Republic of Korea,"15,430.64","98,424.31",953.33,194.85,"1,823.81",106.56,"116,933.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"116,933.50"
Republic of Moldova,674.96,"4,305.23","1,055.44",30.36,549.55,58.63,"6,674.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"6,674.19"
Romania,"4,320.13","27,555.97",521.35,56.45,650.24,44.03,"33,148.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"33,148.18"
Russia,"39,936.36","254,734.04","29,009.57","2,786.99","30,470.78","2,232.51","359,170.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,-,0,0,0,,,0,"359,170.26"
Rwanda,"14,738.89","94,012.00",0,0,0,0,"108,750.89","13,478.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,478.00",0,0,0,0,0,0,0,"13,478.00","4,443.19",402.61,"1,989.81",11.39,58.65,"2,686.54",870.17,520.48,"2,070.95",45.22,"2,957.02","16,056.04","5,263.26","7,836.22",,"3,191.72","1,967.04",60.34,155.54,,"13,099.49","5,158.76",215.88,"18,474.13",,0,,0,,,0,"156,759.07"
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Saint Lucia,22.61,144.2,0,0,0,0.25,167.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.16,0.11,11.25,0,0,24.66,8.73,2.37,12.42,0.44,29.32,120.45,,,,,,,,,0,0,0,0,,0,,0,,,0,287.5
Saint Vincent and the Grenadines,11.92,76.03,0,0,0,0.13,88.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,0.02,2.1,0,0,4.6,1.63,0.44,2.32,0.08,5.48,22.49,,,,,,,,,0,0,0,0,,0,,0,,,0,110.58
Samoa,18.85,120.24,0,0,0,0.21,139.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0.27,0,0,0.56,0.2,0.06,0.29,0.01,0.67,2.8,,,,,,,,,0,0,0,0,,0,,0,0.13,0.07,0.2,142.3
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,0,0,,,0,0
Sao Tome and Principe,86.86,554.05,0,0,0,0.96,641.87,0,0,0,0,0,99.49,0,0,0,0,0,0,0,0,0,0,0,0,99.49,0,0,0,0,0,0,0,99.49,0.6,0,0.22,0,0,0.46,0.17,0.05,0.24,0.01,0.56,2.32,19.48,,18.14,4.02,,2.07,,5.62,37.62,4.02,7.69,49.33,19.88,19.88,,0,,2.78,2.78,815.67
Saudi Arabia,"2,605.98","16,622.24",113.59,18.17,218.88,12.57,"19,591.44",0,0,0,0,0,0,0,0,0,66.96,0,0,0,0,0,0,0,0,66.96,0,0,0,0,0,0,0,66.96,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,0,0,,,0,"19,658.40"
Senegal,"30,715.38","195,918.04",0,0,0,0,"226,633.42","21,161.10",0,0,0,0,"21,394.80",0,0,0,0,0,0,0,0,0,0,0,0,"42,555.90",0,0,0,0,0,0,0,"42,555.90","2,452.08",144.93,"1,014.79",4.12,21.09,"1,649.46",567.06,265.57,"1,076.33",31.33,"1,899.79","9,126.56",,,,,,,,,0,0,0,0,"2,775.04","2,775.04",,0,,25.96,25.96,"281,116.89"
Serbia,513.92,"3,278.05",4.29,1.88,15.13,0.76,"3,814.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"3,814.03"
Seychelles,5.51,35.12,0,0,0,0.06,40.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0.03,3.16,0,0,6.56,2.39,0.71,3.47,0.13,7.93,32.86,0.68,,0.64,1.57,,1.87,,5.09,1.32,1.57,6.96,9.85,-,0,0,0,,,0,83.4
Sierra Leone,"8,554.90","54,567.41",0,0,0,0,"63,122.30","77,319.02",0,0,0,0,"77,319.02",0,0,0,0,0,0,0,0,0,0,0,0,"154,638.04",0,0,0,0,0,0,0,"154,638.04",230.22,7.36,90.64,0.2,1.01,166.01,59.07,22.46,97.67,3.33,196.56,874.52,,,,,,,,,0,0,0,0,63.3,63.3,,0,,21.92,21.92,"218,720.09"
Singapore,164.68,"1,050.38",1.02,0.51,4.23,0.21,"1,221.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0.01,0.83,0,0,1.72,0.63,0.19,0.91,0.04,2.08,8.64,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,229.66"
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Slovakia,110.01,701.73,10.45,2.93,23.13,1.31,849.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,849.57
Slovenia,40.13,255.95,0,0,0,0.44,296.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,296.52
Solomon Islands,245.26,"1,564.42",3.94,0.05,0.43,1.65,"1,815.76",187.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.2,0,0,0,0,193.78,0,193.78,380.98,13.46,0.05,5.01,0,0,10.41,3.79,1.13,5.5,0.21,12.57,52.14,0.03,,0.03,4.62,,0.33,,0.62,0.05,4.62,0.95,5.62,,0,0,0,,,0,"2,254.50"
Somalia,"40,190.41","256,354.45",0,0,0,0,"296,544.86",0,0,0,0,0,0,0,0,"32,354.67",0,0,0,0,0,0,0,0,0,"32,354.67",0,0,0,0,"1,664.03",0,"1,664.03","34,018.70",245.76,18.58,104.79,0.54,2.77,157.38,53.62,29.34,110.02,3.12,179.51,905.41,,,,,,,,,0,0,0,0,"3,707.89","3,707.89",0,0,,,0,"335,176.86"
South Africa,"132,210.46","843,304.25","7,456.36",443.46,"3,880.36",422.36,"987,717.26",904.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.41,807.52,"2,506.58",0,0,0,0,0,0,0,"2,506.58","30,935.22","3,314.40","14,444.81",94.26,485.39,"17,476.86","5,577.15","3,925.12","14,886.25",305.56,"18,926.67","110,371.69",304.35,326.29,,"1,475.19","1,181.01",968.43,"1,283.20",,630.64,"2,656.20","2,251.63","5,538.47",,0,,0,,,0,"1,106,134.00"
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,"93,316.64",0,0,0,0,0,0,0,0,0,0,0,0,"93,316.64",0,0,0,0,0,0,0,"93,316.64","2,371.79",90.37,947.7,2.49,12.69,"1,677.44",596.55,242.19,"1,016.32",34.54,"1,983.04","8,975.11",,,,,,,,,0,0,0,0,"1,288.19","1,288.19",,0,,0.71,0.71,"103,580.65"
Spain,942.75,"6,013.30",0,0,0,0.64,"6,956.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,334.81",64.87,"2,360.52",1.2,6.18,"4,874.83","1,737.71",520.56,"2,587.03",91.14,"5,807.88","24,386.72",,,,,,,,,0,0,0,0,-,0,0,0,,,0,"31,343.41"
Sri Lanka,"2,680.86","17,099.84",7.72,3.7,29.37,1.46,"19,822.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85,1.47,8.95,0.04,0.21,13.39,4.57,2.39,9.41,0.26,15.31,76.87,,,,,,,,,0,0,0,0,,0,,0,,,0,"19,899.82"
Sudan,"9,046.52","57,703.19","1,278.28",44.51,785.86,75.6,"68,933.97",0,0,0,0,0,0,0,0,"29,198.50",0,0,0,0,0,0,0,0,0,"29,198.50",0,0,0,0,"1,501.70",0,"1,501.70","30,700.21",102.12,5.31,41.93,0.15,0.77,69.54,24.39,11.09,44.58,1.42,81.24,382.56,,,,,,,,,0,0,0,0,224.07,224.07,0,0,,0.87,0.87,"100,241.67"
Suriname,34.71,221.39,0,0,0,0.38,256.49,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.25,0,0,0,0,0,0.25,0.42,21.26,0.38,8.16,0.01,0.05,15.9,5.67,1.86,8.87,0.31,18.91,81.38,,,,,,,,,0,0,0,0,,0,,0,,,0,338.28
Swaziland,"4,040.36","25,771.40","1,469.62",97.35,"1,004.72",92.2,"32,475.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,5.64,0,0,0,0,0,0,0,5.64,"2,188.45",175.74,964.71,4.93,25.39,"1,361.40",450.17,248.45,"1,009.12",23.9,"1,521.64","7,973.90",26.61,28.69,,237.37,188.77,25.63,51.76,,55.3,426.14,77.39,558.83,,0,,0,,,0,"41,014.03"
Sweden,116.24,741.42,5.79,1.36,10.92,0.65,876.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,876.38
Switzerland,69.73,444.79,5.91,0.91,7.21,0.5,529.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,529.07
Syrian Arab Republic,293.83,"1,874.22",69.76,5.42,133.16,7.47,"2,383.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,383.85"
Tajikistan,"2,847.49","18,162.73",644.36,31.41,306.56,35.22,"22,027.78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.59,10.75,42.58,0.3,1.56,43.65,13.5,11.55,43.38,0.78,45.93,299.58,,,,,,,,,0,0,0,0,,0,,0,,,0,"22,327.35"
Tanzania,"55,146.52","351,751.99","4,508.81",135.58,"1,768.74",229.93,"413,541.57","260,861.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"260,861.38",0,0,0,0,0,0,0,"260,861.38","4,516.53",18.04,"1,680.14",0,0,"3,493.68","1,271.96",379.2,"1,844.66",70.95,"4,219.16","17,494.30",,,,,,,,,0,0,0,0,"9,976.08","9,976.08",,0,,117.73,117.73,"701,991.06"
Thailand,"20,949.73","133,627.80",868.18,176.48,"2,129.91",113.82,"157,865.92",0,0,0,0,0,0,"1,520.62",0,0,0,0,0,0,0,0,0,0,0,"1,520.62","2,042.41",0,0,0,0,0,"2,042.41","3,563.03","11,191.26",54.65,"4,124.47",0.35,1.82,"8,716.23","3,134.06",906.19,"4,536.34",166.87,"10,447.96","43,280.20",,,,,,,,,0,0,0,0,-,0,0,0,,,0,"204,709.14"
The Former Yugoslav Republic of Macedonia,175.72,"1,120.81",3.71,1.15,11.58,0.59,"1,313.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,313.55"
Timor-Leste,566.21,"3,611.54",4.84,0.07,0.82,5.87,"4,189.34",111.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.86,46.92,0,0,0,0,0,46.92,158.78,4.05,0.02,1.51,0,0,3.12,1.14,0.34,1.66,0.06,3.78,15.68,,,,,,,,,0,0,0,0,,0,,0,232.05,36.25,268.3,"4,632.09"
Togo,"6,669.42","42,540.89",0,0,0,106.94,"49,317.25","59,645.85",0,0,0,0,"59,937.15",0,0,0,0,0,0,0,0,0,0,0,0,"119,583.00",0,0,0,0,0,0,0,"119,583.00",809.51,47.43,335.81,1.34,6.86,544,187.11,87.29,356.15,10.34,626.78,"3,012.62",,,,,,,,,0,0,0,0,"1,014.73","1,014.73",,0,,,0,"172,927.60"
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Tonga,6.32,40.32,0,0,0,0.07,46.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.05,0,0,0.1,0.04,0.01,0.05,0,0.12,0.48,,,,,,,,,0,0,0,0,,0,,0,,,0,47.19
Trinidad and Tobago,66.89,426.63,0,0,0,0.74,494.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.29,3.68,57.79,0.09,0.47,108.96,38.54,13.31,62.58,2.06,128.74,564.51,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,058.77"
Tunisia,"1,236.28","7,885.59",15.07,3.15,40.38,2.1,"9,182.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.46,0.2,18.09,0,0,37.38,13.65,4.12,19.84,0.77,45.23,187.74,,,,,,,,,0,0,0,0,,0,,0,,,0,"9,370.30"
Turkey,"3,675.21","23,442.32",237.02,37.82,402.64,24.29,"27,819.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"27,819.30"
Turkmenistan,"2,034.03","12,974.04",0,0,0,0,"15,008.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,-,0,0,0,,,0,"15,008.07"
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,-,-,0,0
Uganda,"44,888.64","286,322.12","5,428.38",74.27,877.53,228.75,"337,819.70","4,116,612.97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,116,612.97",0,0,0,0,0,0,0,"4,116,612.97","59,920.99","4,624.63","26,052.85",130.62,671.58,"37,853.50","12,631.20","6,813.70","27,316.30",681.53,"42,585.22","219,282.13",,,,,,,,,0,0,0,0,"8,391.68","8,391.68",,0,,24.43,24.43,"4,682,130.92"
Ukraine,"13,057.99","83,290.39","19,290.16",860.1,"8,843.79","1,039.54","126,381.98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,939.45",42.01,"1,125.13",0.89,4.58,"2,206.08",798.45,262.35,"1,225.11",45.13,"2,649.11","11,298.28",,,,,,,,,0,0,0,0,-,0,0,0,,,0,"137,680.26"
United Arab Emirates,364.65,"2,325.94",0,0,0,4.04,"2,694.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.44,0.11,10.21,0,0,21.23,7.73,2.3,11.2,0.43,25.63,106.28,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,800.92"
United Kingdom of Great Britain and Northern Ireland,979.63,"6,248.60",12.19,4.91,38.74,2,"7,286.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"7,286.08"
United States,"2,495.63","15,918.34",0,0,0,5.2,"18,419.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754.58,3.01,280.64,0,0,583.8,212.5,63.31,308.14,11.84,704.94,"2,922.77",,,,,,,,,0,0,0,0,,0,,0,,,0,"21,341.94"
Uruguay,150.63,960.8,0.36,0.22,1.74,0.08,"1,113.83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0.4,10.35,0.01,0.05,20.61,7.36,2.34,11.29,0.4,24.56,104.63,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,218.46"
US Virgin Islands,3.65,23.27,0,0,0,0,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,26.92
Uzbekistan,"7,619.20","48,599.03","9,840.37",269.37,"5,241.47",550.4,"72,119.83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.34,1.47,54.04,0.03,0.13,107.87,39.18,12.46,59,2.22,129.93,548.66,,,,,,,,,0,0,0,0,-,0,0,0,,,0,"72,668.49"
Vanuatu,87.15,555.9,0,0,0,0.97,644.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0.07,6.2,0,0,12.9,4.7,1.4,6.81,0.26,15.58,64.59,10.4,10.4,,9.98,6.03,0.53,0.64,,20.79,16.01,1.17,37.97,,0,,0,,,0,746.58
Venezuela,"2,232.66","14,241.04",489.25,34.59,354.66,31.5,"17,383.69",0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,1.62,4.8,0,0,0,0,0,4.8,6.42,629.35,2.24,227.14,0,0,498.04,176.23,47.9,250.81,8.83,592.26,"2,432.81","1,250.69",598.74,,42.71,3.34,381.05,743.96,,"1,849.43",46.05,"1,125.01","3,020.49",,0,,0,,,0,"22,843.41"
Viet Nam,"52,405.42","334,267.89","2,715.18",170.43,"1,719.38",165.11,"391,443.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,804.47","1,833.72","3,638.19","4,095.29",0,0,0,0,0,"4,095.29","7,733.48",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"399,176.88"
Wallis and Futuna Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,-,0,0,0,,,0,0
West Bank and Gaza Strip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,0,0,,,0,0
Yemen,"8,873.70","56,600.87",0,0,0,0,"65,474.57",0,0,0,0,0,0,0,0,"3,746.12",0,0,0,0,0,0,0,0,0,"3,746.12",0,0,0,0,0,0,0,"3,746.12",7.77,0.62,3.37,0.02,0.09,4.89,1.65,0.93,3.53,0.1,5.54,28.51,,,,,,,,,0,0,0,0,345.36,345.36,0,0,,,0,"69,594.56"
Zambia,"19,471.85","124,201.17","1,369.81",114.41,"1,504.98",107.17,"146,769.39","129,793.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"129,793.77",0,0,0,0,0,0,0,"129,793.77","20,236.20","2,806.44","9,888.28",81.24,417.56,"10,325.48","3,075.17","2,842.70","10,049.21",164.16,"10,586.87","70,473.31",,,,,,,,,0,0,0,0,659.84,659.84,0,0,,12.93,12.93,"347,709.23"
Zimbabwe,"33,862.10","215,989.37","1,725.84",139.07,"1,216.87",110.49,"253,043.74","1,080.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,080.73",0,0,0,0,0,0,0,"1,080.73","52,929.81","5,400.58","24,512.04",152.77,787.39,"30,429.67","9,741.31","6,523.24","25,328.34",521.85,"33,087.55","189,414.55",,,,,,,,,0,0,0,0,526.28,526.28,0,0,,0,0,"444,065.29"
